City1,City2,Hexcode1,Hexcode2,Hexcode3,Hexcode4,Hexcode5,Hexcode6,Hexcode7
"New York City, NY, USA","New York City, NY, USA",#48039f,#fdc827,#ffffff,,,,
"New York City, NY, USA","Lee, MA, USA",#5002a2,#fec029,#ffffff,,,,
"Lee, MA, USA","Lee, MA, USA",#5502a4,#febb2b,#ffffff,,,,
"Lee, MA, USA","Washington, D.C., USA",#5502a4,#febb2b,#ffffff,,,,
"Washington, D.C., USA","Washington, D.C., USA",#5601a4,#feba2c,#ffffff,,,,
"Washington, D.C., USA","New York City, NY, USA",#5601a4,#feba2c,#ffffff,,,,
"New York City, NY, USA","New York City, NY, USA",#5601a4,#feba2c,#ffffff,,,,
"New York City, NY, USA","New York City, NY, USA",#5601a4,#feba2c,#ffffff,,,,
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#fdb52e,#ffffff,,,,
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#fdb52e,#ffffff,,,,
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#fdb52e,#ffffff,,,,
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#fdb52e,#ffffff,,,,
"New York City, NY, USA","Brooklyn, NY, USA",#5b01a5,#fdb52e,#ffffff,,,,
"Brooklyn, NY, USA","Philadelphia, PA, USA",#5c01a6,#fdb42f,#ffffff,,,,
"Philadelphia, PA, USA","New York City, NY, USA",#5c01a6,#fdb42f,#ffffff,,,,
"New York City, NY, USA","New York City, NY, USA",#5e01a6,#fdb22f,#ffffff,,,,
"New York City, NY, USA","New York City, NY, USA",#5e01a6,#fdb22f,#ffffff,,,,
"New York City, NY, USA","Boston, MA, USA",#6300a7,#fdae32,#ffffff,,,,
"Boston, MA, USA","Boston, MA, USA",#6700a8,#fca934,#ffffff,,,,
"Boston, MA, USA","New York City, NY, USA",#6700a8,#fca934,#ffffff,,,,
"New York City, NY, USA","New York City, NY, USA",#6900a8,#fca835,#ffffff,,,,
"New York City, NY, USA","Lee, MA, USA",#6900a8,#fca835,#ffffff,,,,
"Lee, MA, USA","Lee, MA, USA",#6900a8,#fca835,#ffffff,,,,
"Lee, MA, USA","New York City, NY, USA",#6900a8,#fca835,#ffffff,,,,
"New York City, NY, USA","Hempstead, NY, USA",#6c00a8,#fca537,#ffffff,,,,
"Hempstead, NY, USA","Princeton, NJ, USA",#6e00a8,#fca338,#ffffff,,,,
