City1,City2,Hexcode1,Hexcode2,Hexcode3,Hexcode4,Hexcode5,Hexcode6,Hexcode7
"New York City, NY, USA","New York City, NY, USA",#48039f,#7205ff,#b780ff,#8104a7,#c506ff,#e180ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#48039f,#7205ff,#b780ff,#8104a7,#c506ff,#e180ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#5002a2,#7d03ff,#bd80ff,#8707a6,#cf0bff,#e680ff,#ffffff
"New York City, NY, USA","Lee, MA, USA",#5002a2,#7d03ff,#bd80ff,#8707a6,#cf0bff,#e680ff,#ffffff
"Lee, MA, USA","Lee, MA, USA",#5502a4,#8402ff,#c180ff,#8b0aa5,#d70fff,#ea80ff,#ffffff
"Lee, MA, USA","Washington, D.C., USA",#5502a4,#8402ff,#c180ff,#8b0aa5,#d70fff,#ea80ff,#ffffff
"Washington, D.C., USA","Washington, D.C., USA",#5601a4,#8602ff,#c280ff,#8b0aa5,#d70fff,#ea80ff,#ffffff
"Washington, D.C., USA","New York City, NY, USA",#5601a4,#8602ff,#c280ff,#8b0aa5,#d70fff,#ea80ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#5601a4,#8602ff,#c280ff,#8b0aa5,#d70fff,#ea80ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#5601a4,#8602ff,#c280ff,#8b0aa5,#d70fff,#ea80ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#8c01ff,#c580ff,#8f0da4,#e014ff,#ee80ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#8c01ff,#c580ff,#8f0da4,#e014ff,#ee80ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#8c01ff,#c580ff,#8f0da4,#e014ff,#ee80ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#8c01ff,#c580ff,#8f0da4,#e014ff,#ee80ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#8c01ff,#c580ff,#8f0da4,#e014ff,#ee80ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#8c01ff,#c580ff,#8f0da4,#e014ff,#ee80ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#8c01ff,#c580ff,#8f0da4,#e014ff,#ee80ff,#ffffff
"New York City, NY, USA","Brooklyn, NY, USA",#5b01a5,#8c01ff,#c580ff,#8f0da4,#e014ff,#ee80ff,#ffffff
"Brooklyn, NY, USA","Brooklyn, NY, USA",#5c01a6,#8e01ff,#c680ff,#910ea3,#e316ff,#ef80ff,#ffffff
"Brooklyn, NY, USA","Philadelphia, PA, USA",#5c01a6,#8e01ff,#c680ff,#910ea3,#e316ff,#ef80ff,#ffffff
"Philadelphia, PA, USA","Philadelphia, PA, USA",#5c01a6,#8e01ff,#c680ff,#910ea3,#e316ff,#ef80ff,#ffffff
"Philadelphia, PA, USA","New York City, NY, USA",#5c01a6,#8e01ff,#c680ff,#910ea3,#e316ff,#ef80ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#5e01a6,#9101ff,#c880ff,#910ea3,#e316ff,#ef80ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#5e01a6,#9101ff,#c880ff,#910ea3,#e316ff,#ef80ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#6300a7,#9701ff,#cb80ff,#9511a1,#eb1cff,#f480ff,#ffffff
"New York City, NY, USA","Boston, MA, USA",#6300a7,#9701ff,#cb80ff,#9511a1,#eb1cff,#f480ff,#ffffff
"Boston, MA, USA","Boston, MA, USA",#6700a8,#9d00ff,#ce80ff,#99159f,#f521ff,#f980ff,#ffffff
"Boston, MA, USA","New York City, NY, USA",#6700a8,#9d00ff,#ce80ff,#99159f,#f521ff,#f980ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#6900a8,#a000ff,#cf80ff,#99159f,#f521ff,#f980ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#6900a8,#a000ff,#cf80ff,#99159f,#f521ff,#f980ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#6900a8,#a000ff,#cf80ff,#99159f,#f521ff,#f980ff,#ffffff
"New York City, NY, USA","Lee, MA, USA",#6900a8,#a000ff,#cf80ff,#99159f,#f521ff,#f980ff,#ffffff
"Lee, MA, USA","Lee, MA, USA",#6900a8,#a000ff,#cf80ff,#99159f,#f521ff,#f980ff,#ffffff
"Lee, MA, USA","New York City, NY, USA",#6900a8,#a000ff,#cf80ff,#9a169f,#f823ff,#fb80ff,#ffffff
"New York City, NY, USA","New York City, NY, USA",#6c00a8,#a400ff,#d180ff,#9d189d,#fe27ff,#ff80ff,#ffffff
"New York City, NY, USA","Hempstead, NY, USA",#6c00a8,#a400ff,#d180ff,#9d189d,#fe27ff,#ff80ff,#ffffff
"Hempstead, NY, USA","Hempstead, NY, USA",#6e00a8,#a600ff,#d380ff,#9d189d,#fe27ff,#ff80ff,#ffffff
"Hempstead, NY, USA","Princeton, NJ, USA",#6e00a8,#a600ff,#d380ff,#9d189d,#fe27ff,#ff80ff,#ffffff
"Princeton, NJ, USA","Princeton, NJ, USA",#6e00a8,#a600ff,#d380ff,#9d189d,#fe27ff,#ff80ff,#ffffff
"Princeton, NJ, USA","Great Neck, NY, USA",#6e00a8,#a600ff,#d380ff,#9d189d,#fe27ff,#ff80ff,#ffffff
"Great Neck, NY, USA","Great Neck, NY, USA",#6e00a8,#a600ff,#d380ff,#9d189d,#fe27ff,#ff80ff,#ffffff
"Great Neck, NY, USA","Sydney, Australia",#6e00a8,#a600ff,#d380ff,#9d189d,#fe27ff,#ff80ff,#ffffff
"Sydney, Australia","Sydney, Australia",#6e00a8,#a600ff,#d380ff,#9d189d,#fe27ff,#ff80ff,#ffffff
"Sydney, Australia","Sydney, Australia",#6e00a8,#a600ff,#d380ff,#9d189d,#fe27ff,#ff80ff,#ffffff
"Sydney, Australia","Sydney, Australia",#6e00a8,#a600ff,#d380ff,#9d189d,#fe27ff,#ff80ff,#ffffff
"Sydney, Australia","Melbourne, Australia",#6f00a8,#a800ff,#d480ff,#9d189d,#fe27ff,#ff80ff,#ffffff
"Melbourne, Australia","Melbourne, Australia",#6f00a8,#a800ff,#d480ff,#9d189d,#fe27ff,#ff80ff,#ffffff
"Melbourne, Australia","Rangoon, Burma",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
"Rangoon, Burma","Rangoon, Burma",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
"Rangoon, Burma","Mandalay, Burma",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
"Mandalay, Burma","Mandalay, Burma",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
"Mandalay, Burma","Saigon, South Vietnam",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
"Saigon, South Vietnam","Saigon, South Vietnam",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
"Saigon, South Vietnam","Kuala Lumpur, Malaysia",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
"Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
"Kuala Lumpur, Malaysia","Ipoh, Malaysia",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
"Ipoh, Malaysia","Ipoh, Malaysia",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
"Ipoh, Malaysia","George Town, Penang, Malaysia",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
"George Town, Penang, Malaysia","George Town, Penang, Malaysia",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
"George Town, Penang, Malaysia","Seremban, Malaysia",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
"Seremban, Malaysia","Seremban, Malaysia",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
"Seremban, Malaysia","Jakarta, Indonesia",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
"Jakarta, Indonesia","Jakarta, Indonesia",#6f00a8,#a800ff,#d480ff,#9e199d,#ff29fc,#ff80fd,#ffffff
