Place,Venues,Repertory
,,Letter to a Lady; The Beloved; Been Here and Gone; Revelations; Roots of the Blues
"Aarhus, Denmark",Aarhus Teater; Musikhuset,The Time Before the Time After (After the Time Before); The Still Point; Suite Otis; Cry; Fontessa and Friends; Pigs and Fishes; Toccata; Gazelle; Revelations; Streams; Anjour: Ruminations on Dudley; Myth; Night Creature; Love Songs; The Stack-Up; Sunrise... Sunset; Night Shade; Isba; Treading; Divining; Fever Swamp
"Abidjan, Côte d'Ivoire",Centre Culturel de Treichville; Hôtel Ivoire,Blues Suite; Metallics; Congo Tango Palace; Revelations; Lament
"Accra, Ghana",Art Centre,Blues Suite; Metallics; Congo Tango Palace; Revelations; Lament
"Addis Ababa, Ethiopia",Haile Selassie I Theatre,Blues Suite; Toccata; Reflections in D; The Prodigal Prince; Revelations
"Adelaide, Australia",Festival Theatre,Treading; The Stack-Up; Memoria; Concerto in F; Speeds; Suite Otis; Cry; Divining; Revelations; Night Creature
"Akron, OH, USA","Edwin J. Thomas Performing Arts Hall, University of Akron",Carmina Burana; Journey; Revelations; Streams; The Road of the Phoebe Snow; The Lark Ascending; How Long Have It Been; Love Songs
"Albany, NY, USA",Albany Mall,Revelations
"Albuquerque, NM, USA","Popejoy Hall, University of New Mexico",Kinetic Molpai; Hidden Rites; After Eden; Revelations; Cry; Streams; Night Creature; Love Songs
"Algiers, Algeria",Théâtre National Algérien,Blues Suite; Toccata; Dance for Six; Icarus; The Prodigal Prince; Revelations; Streams; Journey
"Allendale, MI, USA","Armstrong Theater, Grand Valley State",Rainbow 'Round My Shoulder; Blues Suite; Revelations
"Altoona, PA, USA",Roosevelt Junior High School Auditorium,Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Ambler, PA, USA","Ambler Amphitheatre; Outdoor Concert Stage, Temple University",Love Songs; Blues Suite; Facets; Liberian Suite; Icarus; Passage; Rainbow 'Round My Shoulder; Gazelle; Hidden Rites; Revelations; Suite Otis; Cry; Butterfly; Streams; The Road of the Phoebe Snow; The Lark Ascending; Night Creature; Pas de Duke
"Ames, IA, USA","Iowa State University; Cy Stephens, Iowa State University; C.Y. Stephens Auditorium, Iowa State Center",The Time Before the Time After (After the Time Before); Blues Suite; Treading; Toccata; Flowers; The Stack-Up; Rainbow 'Round My Shoulder; Congo Tango Palace; Reflections in D; Concerto in F; Suite Otis; Revelations; Archipelago; Fontessa and Friends; Butterfly; Streams; Cry; Night Creature
"Amherst, MA, USA","Bowker Auditorium, University of Massachusets Amherst; Concert Hall of Fine Arts Center, Herter Hall, University of Massachusets at Amherst; Fine Arts Center Concert Hall, UMass Amherst; Bowker Auditorium, University of Massachusetts Amherst; Fine Arts Center Concert Hall, University of Massachussets Amherst; UMass., Fine Arts Center Concert Hall; The Fine Arts Center, University of Massachusetts Amherst",The Time Before the Time After (After the Time Before); Les Noces; Memoria; Suite Otis; Phases; Cry; Pigs and Fishes; Flowers; Rainbow 'Round My Shoulder; Bad Blood; After Eden; Tilt; Revelations; Speeds; Later That Day; Butterfly; Streams; The Lark Ascending; Myth; Night Creature; Love Songs; Mary Lou's Mass; Blues Suite; The Stack-Up; Suspension; Archipelago; Hobo Sapiens; The Road of the Phoebe Snow; Treading; Hermit Songs; Liberian Suite; Divining
"Amsterdam, Netherlands",Rai Congress Center; Stadsschouwburg,The Black Belt; Metallics; Suite Otis; Cry; Caverna Magica; Toccata; Icarus; Credo; Bad Blood; The Prodigal Prince; Revelations; Streams; Night Creature; Blues Suite; The Stack-Up; Congo Tango Palace; Concerto in F; The Road of the Phoebe Snow; Journey; Lament; Treading; Reflections in D
"Anchorage, AK, USA","Evangeline Atwood Concert Hall, Alaska Center for the Performing Arts; West High Auditorium",Blues Suite; Treading; The Stack-Up; Shards; Revelations; Phases; Suite Otis; Streams; Divining; Songs Without Words; Cry; Night Creature; Love Songs
"Ann Arbor, MI, USA","Power Center for the Performing Arts, University of Michigan; Hill Auditorium, University of Michigan; Power Auditorium, University of Michigan",The Time Before the Time After (After the Time Before); The Still Point; Memoria; Portrait of Billie; Suite Otis; Phases; Cry; How Long Have It Been; Toccata; Flowers; Rainbow 'Round My Shoulder; Gazelle; The Wedding; The River; Hidden Rites; Tilt; Revelations; Choros; Later That Day; Streams; Blood Memories; Butterfly; The Lark Ascending; Myth; Night Creature; Mary Lou's Mass; Love Songs; Blues Suite; Clear Songs After Rain; Crossword; Places; Congo Tango Palace; Carmina Burana; Masekela Langage; Archipelago; Hobo Sapiens; Journey; Nocturne; Treading; Feast of Ashes; Countdown; Reflections in D; Kinetic Molpai
"Antananarivo, Malagasy Republic",Cinema SOA,
"Antwerp, Belgium",Koninklijke Vlaamse Opera; Queen Elizabeth Hall,Treading; Tilt; Concerto in F; Suite Otis; Cry; Revelations; Divining; Caverna Magica; Night Creature
"Arles, France",Theatre Antique,Facets; Revelations; Suite Otis; Cry; Streams; Butterfly; Myth; Night Creature; Love Songs
"Arnhem, Netherlands",Stadsschouwburg,Toccata; Metallics; Icarus; Congo Tango Palace; Reflections in D; Revelations; The Road of the Phoebe Snow; Journey; Lament
"Asheville, NC, USA","Thomas Wolfe Auditorium, University of North Carolina Asheville",Blues Suite; Revelations; Love Songs; The Stack-Up
"Athens, Greece",Herod Atticus Odeon; Herod Attikus Theatre,The Time Before the Time After (After the Time Before); The Still Point; Memoria; Suite Otis; Phases; Cry; Fontessa and Friends; Caverna Magica; Pigs and Fishes; Gazelle; The River; Revelations; Speeds; Butterfly; Streams; Night Creature; Love Songs; Blues Suite; The Stack-Up; Spectrum; Concerto in F; Treading; Facets
"Athens, OH, USA","Memorial Auditorium, Ohio University",Blues Suite; Toccata; The Beloved; Congo Tango Palace; Reflections in D; Revelations
"Atlanta, GA, USA","Omni; Fox Theatre; Davage Auditorium, Clark College ; Fox Theater; Spelman College; Atlanta Civic Center",The Time Before the Time After (After the Time Before); Les Noces; District Storyville; Inside; Memoria; Suite Otis; Phases; Cry; Fontessa and Friends; Gillespiana; Caverna Magica; Pigs and Fishes; Light; Toccata; Flowers; The Magic of Katherine Dunham; Gazelle; Rainbow 'Round My Shoulder; Bad Blood; Hidden Rites; After Eden; The Mooche; Revelations; Later That Day; Speeds; Streams; Butterfly; The Lark Ascending; Night Creature; Love Songs; Blues Suite; Survivors; For 'Bird' - With Love; Three Black Kings; Congo Tango Palace; The Stack-Up; Masekela Langage; Spectrum; Concerto in F; Hobo Sapiens; Fire Sermon; The Road of the Phoebe Snow; Isba; Treading; Feast of Ashes; Caravan; Liberian Suite; Facets; Reflections in D; Witness; Divining; Fever Swamp; Pas de Duke; Landscape
"Atlantic City, NJ, USA",Atlantic City High School Auditorium,Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Austin, TX, USA","The Texas Union, University of Texas Austin; Municipal Auditorium; Performing Arts Concert Hall, University of Texas at Austin; University of Texas at Austin",The Still Point; Phases; Cry; Fontessa and Friends; Flowers; Rainbow 'Round My Shoulder; After Eden; Tilt; Revelations; Streams; Night Creature; Love Songs; The Stack-Up; Masekela Langage; Suspension; Concerto in F; The Road of the Phoebe Snow; Treading; Feast of Ashes; Divining; Fever Swamp
"Avignon, France",Cour d'Honneur du Palais des Papes; Cour d' Honneur du Palais des Papes,Love Songs; Blues Suite; Facets; Rainbow 'Round My Shoulder; Gazelle; Carmina Burana; Journey; After Eden; The Mooche; Revelations; Cry; Streams; Hobo Sapiens; The Lark Ascending; Night Creature; Pas de Duke
"Baalbek, Lebanon",Court of the Temple of Bacchus,Blues Suite; Kinetic Molpai; Hidden Rites; Revelations; Cry; Streams; The Lark Ascending
"Bacolod City, Philippines","Auditorium, The University of Negros Occidental",The Beloved; Been Here and Gone; Cinco Latinos; Mountainway Chant; Revelations
"Baldwin City, KS, USA",Baker University,
"Baltimore, MD, USA","Coppin State College; Lyric Theatre; Dalsheimer Auditorium, Baltimore Hebrew Congregation; Lyric Opera House; Shriver Auditorium, Johns Hopkins University",Memoria; Portrait of Billie; Suite Otis; Cry; Fontessa and Friends; Caverna Magica; Toccata; Rainbow 'Round My Shoulder; Bad Blood; Revelations; Speeds; The Lark Ascending; Night Creature; Love Songs; Blues Suite; Survivors; The Stack-Up; Congo Tango Palace; Concerto in F; Isba; Treading; Reflections in D; Vespers; Divining
"Bangkok, Thailand",National Theater,Blues Suite; Facets; Rainbow 'Round My Shoulder; Gazelle; Revelations; Cry; Night Creature
"Banjaluka, Socialist Federal Republic of Yugoslavia",,Blues Suite; The Prodigal Prince; Revelations; The Road of the Phoebe Snow; Lament
"Bari, Italy",Teatro Petruzelli,The Stack-Up; Come and Get the Beauty of It Hot; Revelations; Suite Otis; Cry; Night Creature; Landscape
"Basel, Switzerland",Basel Tanzt,Treading; The Stack-Up; Bad Blood; Concerto in F; Revelations; Cry; Streams; Divining; Caverna Magica; Night Creature
"Batavia, NY, USA",Batavia High School Auditorium,Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Baton Rouge, LA, USA",LSU Union theater,Blues Suite; Feast of Ashes; Carmina Burana; Revelations; Cry; Streams; Love Songs
"Beaverton, OR, USA",,Blues Suite; Toccata; Icarus; Revelations; Journey
"Bedford, NY, USA",Fox Lane High School,Blues Suite; Toccata; Metallics; Revelations; Journey
"Beijing, China",Beijing Exhibition Hall; Central Ballet,Treading; The Stack-Up; Memoria; Concerto in F; Revelations; Cry; Night Creature
"Beit Berl, Israel",,Blues Suite; Toccata; Reflections in D; The Prodigal Prince; Revelations
"Beja, Portugal",Teatro Pax Julia,The Road of the Phoebe Snow; Blues Suite; Reflections in D; Toccata
"Belgrade, Socialist Federal Republic of Yugoslavia",Atelje 212,Toccata; Metallics; The Beloved; Congo Tango Palace; Reflections in D
"Berkeley, CA, USA","Wheeler Auditorium, University of California Berkeley; Zellerbach Auditorium, UC Berkeley; Zellerbach Auditorium, University of California at Berkeley; Zellerbach Auditorium, University of California Berkeley",Missa Brevis; Blood Burning Moon; Icarus; Hidden Rites; Tilt; Research; Streams; Poeme; Night Creature; The Stack-Up; Precipice; The Road of the Phoebe Snow; Feast of Ashes; Liberian Suite; Choral Dances; Caravan; The Still Point; Tell It Like It Is; Memoria; Caverna Magica; How Long Have It Been; Gazelle; The River; Speeds; Blood Memories; Blues Suite; Time Out of Mind; Night Shade; Concerto in F; Hobo Sapiens; Isba; Reflections in D; Kinetic Molpai; Panambi; Ancestral Voices; Divining; Landscape; The Time Before the Time After (After the Time Before); District Storyville; Metallics; According to Eve; Suite Otis; Songs Without Words; Blueshift; Pigs and Fishes; Toccata; Shards; Dance for Six; Rainbow 'Round My Shoulder; The Prodigal Prince; Butterfly; Love Songs; Coverage II; Crossword; From the Mountains of Taubalu; Congo Tango Palace; Countdown; Vespers; Witness; Fever Swamp; Les Noces; Inside; Portrait of Billie; Phases; Cry; Fontessa and Friends; Flowers; Bad Blood; After Eden; The Mooche; Revelations; Later That Day; The Lark Ascending; Survivors; For 'Bird' - With Love; Carmina Burana; Masekela Langage; Treading; Facets; Opus McShann; Quintet
"Berlin, Germany",Akademie der Künste; Akademie der Kunst; Deutsche Oper Berlin; Theater des Westens,Missa Brevis; Cry; Caverna Magica; How Long Have It Been; Toccata; The Magic of Katherine Dunham; Dance for Six; Rainbow 'Round My Shoulder; Rooms; The Mooche; Revelations; Streams; The Lark Ascending; Night Creature; Love Songs; Blues Suite; Come and Get the Beauty of It Hot; Survivors; For 'Bird' - With Love; The Stack-Up; Carmina Burana; The Road of the Phoebe Snow; Treading; Hermit Songs; Vespers; Kinetic Molpai
"Bern, Switzerland",Stadttheater Bern,Revelations; Night Creature; Cry; The Stack-Up
"Bethlehem, PA, USA",Broughal Junior High School Auditorium,Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Biddeford, ME, USA","Gymnasium, St. Francis College; Bowdin College",
"Binghamton, NY, USA","Harpur College Theater, State University; Anderson Center for the Arts, State University of New York at Binghamton",The Magic of Katherine Dunham
"Birmingham, AL, USA",Birmingham Music Club,Feast of Ashes; Cry; Streams; Revelations
"Bloomington, IN, USA","Indiana University Auditorium; University Auditorium, Indiana University; I.U. Auditorium, Indiana University",Clear Songs After Rain; Flowers; According to Eve; Inside; Mary Lou's Mass; Memoria; Revelations; Later That Day; Suite Otis; Streams; Night Creature; Love Songs
"Bluefield, WV, USA","Ramsey Elementary School Auditorium, Bluefield State College",
"Bochum, Germany",,Blues Suite; Hermit Songs; Toccata; Revelations; The Road of the Phoebe Snow
"Bogotá, Colombia",Colonsubsidos Theater; Coliseo el Campin; Teatro Colon,The Still Point; Treading; The River; Memoria; Revelations; Phases; Cry; Night Creature
"Boone, NC, USA","Farthing Auditorium, Appalachian State University",Blues Suite; Revelations; Suite Otis; The Stack-Up
"Bordeaux, France",Palais des Sports,Blues Suite; Treading; The Stack-Up; Revelations; Suite Otis; Cry; Divining; Caverna Magica; Night Creature
"Boston, MA, USA","Public Gardens; John Hancock Hall, Boston University; Boston University, Orpheum Theater; Boston University, John Hancock Hall; John Hancock Hall; Colonial Theatre; Metropolitan Center, Boston University; Music Hall; Wang Center for the Performing Arts",Missa Brevis; Icarus; Hidden Rites; Tilt; Research; Streams; Anjour: Ruminations on Dudley; Night Creature; The Stack-Up; Places; Precipice; The Road of the Phoebe Snow; Feast of Ashes; Collage; Choral Dances; Liberian Suite; Roots of the Blues; The Still Point; Tell It Like It Is; Memoria; Fanga; Caverna Magica; How Long Have It Been; Gazelle; The River; Speeds; Blood Memories; Blues Suite; Time Out of Mind; Night Shade; Concerto in F; Nubian Lady; Archipelago; Echoes in Blue; Isba; Hobo Sapiens; Journey; Kinetic Molpai; Divining; Landscape; The Time Before the Time After (After the Time Before); Metallics; Suite Otis; Songs Without Words; Pigs and Fishes; Seven Journeys; Toccata; Shards; Dance for Six; Rainbow 'Round My Shoulder; The Prodigal Prince; Butterfly; Love Songs; Mary Lou's Mass; Crossword; Congo Tango Palace; Fire Sermon; Vespers; Witness; Fever Swamp; Les Noces; Inside; Portrait of Billie; Phases; Cry; Fontessa and Friends; Flowers; The Magic of Katherine Dunham; Bad Blood; How to Walk an Elephant; After Eden; Revelations; Later That Day; Choros; The Lark Ascending; Myth; To Jose Clemente Orozco; Survivors; For 'Bird' - With Love; Carmina Burana; Masekela Langage; Sonnets; Satyriade; Spectrum; Treading; Lullaby for a Jazz Baby; Facets; Opus McShann
"Bratislava, Czechoslovak Socialist Republic",National Theater,The Time Before the Time After (After the Time Before); Tilt; Revelations; Suite Otis; Streams; Myth; Love Songs
"Bremen, Germany",,
"Bridgeport, CT, USA",Klein Memorial Auditorium,Blues Suite; Toccata; Icarus; Revelations; Journey
"Brisbane, Australia",Lyric Theatre,Fontessa and Friends; Treading; The Stack-Up; Memoria; Concerto in F; Speeds; Suite Otis; Revelations; Divining; Cry; Night Creature
"Brno, Czechoslovak Socialist Republic",Janáček Theater,The Time Before the Time After (After the Time Before); Suite Otis; Myth; Night Creature; Love Songs
"Brockport, NY, USA","Hartwell Auditorium, State University College",
"Brooklyn, NY, USA",Brooklyn Academy of Music; New York City Community College; Bethany Methodist Church,Blues Suite; Toccata; Congo Tango Palace; Reflections in D; The Prodigal Prince; Revelations
"Brussels, Belgium","Paleis Voor Schone Kunsten, Palais des Beaux-Arts; Centre Culturel d'Uccle; Opera House",Blues Suite; Reflections in D; Carmina Burana; Bad Blood; The Mooche; Revelations; Cry; Streams; The Road of the Phoebe Snow; Caverna Magica; Night Creature; Love Songs
"Bucharest, Socialist Republic of Romania","Great Hall, Palace; Sala Palatului",Blues Suite; Toccata; Dance for Six; Rainbow 'Round My Shoulder; Gazelle; Carmina Burana; Revelations; Suite Otis; Cry; The Lark Ascending; Night Creature; Love Songs
"Budapest, Hungary",Erkel Theater; Budai Parkszinpad,Blues Suite; Missa Brevis; Flowers; Dance for Six; Rainbow 'Round My Shoulder; Gazelle; Carmina Burana; Kinetic Molpai; Tilt; Revelations; Suite Otis; Cry; Fanga; Streams; The Lark Ascending; Night Creature; Love Songs
"Buenos Aires, Argentina",Teatro Colon,The Still Point; Treading; Rainbow 'Round My Shoulder; Memoria; Concerto in F; Revelations; Cry; The Lark Ascending; Night Creature; Love Songs
"Buffalo, NY, USA","Canisius High School Theater Auditorium; Kleinhans Music Hall; SUNY Buffalo; Summer Festival of Performing Arts, University of Buffalo; Shea's Buffalo; Woodlawn Junior High School; Artpark Theater; Niagara Community College; Shea's Performing Arts Center",Variegations; Memoria; Suite Otis; Phases; Mingus; Gillespiana; Fontessa and Friends; Cry; Flowers; Gazelle; The River; Bad Blood; The Mooche; Tilt; Revelations; Butterfly; Streams; The Lark Ascending; Myth; Night Creature; Blues Suite; Clear Songs After Rain; The Stack-Up; Three Black Kings; Spectrum; Concerto in F; Echoes in Blue; The Road of the Phoebe Snow; Fire Sermon; Treading; Liberian Suite; The Beloved; Reflections in D; Witness; Divining; Pas de Duke
