Place,Venues,Repertory
,,Been Here and Gone; Letter to a Lady; Roots of the Blues; Revelations; The Beloved
"Aarhus, Denmark",Musikhuset; Aarhus Teater,The Still Point; Sunrise... Sunset; Fontessa and Friends; Isba; Fever Swamp; The Stack-Up; Divining; Love Songs; The Time Before the Time After (After the Time Before); Treading; Cry; Suite Otis; Night Shade; Pigs and Fishes; Streams; Myth; Anjour: Ruminations on Dudley; Toccata; Revelations; Gazelle; Night Creature
"Abidjan, Côte d'Ivoire",Centre Culturel de Treichville; Hôtel Ivoire,Lament; Congo Tango Palace; Blues Suite; Revelations; Metallics
"Accra, Ghana",Art Centre,Lament; Congo Tango Palace; Blues Suite; Revelations; Metallics
"Addis Ababa, Ethiopia",Haile Selassie I Theatre,Toccata; Blues Suite; Reflections in D; The Prodigal Prince; Revelations
"Adelaide, Australia",Festival Theatre,Divining; Concerto in F; Suite Otis; Cry; Treading; Speeds; Memoria; Revelations; The Stack-Up; Night Creature
"Akron, OH, USA","Edwin J. Thomas Performing Arts Hall, University of Akron",Journey; How Long Have It Been; Carmina Burana; Love Songs; Streams; Revelations; The Lark Ascending; The Road of the Phoebe Snow
"Albany, NY, USA",Albany Mall,Revelations
"Albuquerque, NM, USA","Popejoy Hall, University of New Mexico",Love Songs; Cry; After Eden; Kinetic Molpai; Streams; Hidden Rites; Revelations; Night Creature
"Algiers, Algeria",Théâtre National Algérien,Toccata; Dance for Six; Journey; Blues Suite; The Prodigal Prince; Streams; Revelations; Icarus
"Allendale, MI, USA","Armstrong Theater, Grand Valley State",Blues Suite; Rainbow 'Round My Shoulder; Revelations
"Altoona, PA, USA",Roosevelt Junior High School Auditorium,Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"Ambler, PA, USA","Ambler Amphitheatre; Outdoor Concert Stage, Temple University",Pas de Duke; Liberian Suite; Facets; Love Songs; Suite Otis; Cry; Blues Suite; Rainbow 'Round My Shoulder; The Lark Ascending; Passage; Butterfly; Revelations; Hidden Rites; Streams; Gazelle; The Road of the Phoebe Snow; Night Creature; Icarus
